Movie_ID,Title,Genre,Director,Cast,Country,Release_Year,Rating,Duration_Minutes,Language,Popularity_Score,Vote_Count,Age_Group,Description,Combined_Features
16,Ocean Mystery 16,Animation,Michael Brown,Priya Rao,India,2011,A,87,Hindi,1.31,80177,Adults,"A animation movie directed by Michael Brown, starring Priya Rao. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events.","Animation Michael Brown Priya Rao India Hindi A Adults A animation movie directed by Michael Brown, starring Priya Rao. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events."
17,The Last Journey 17,Comedy,Michael Brown,Ravi Kumar,UK,2016,R,115,Korean,2.64,482791,Adults,"A comedy movie directed by Michael Brown, starring Ravi Kumar. The story takes place in UK and follows an exciting journey filled with mystery, emotions and unexpected events.","Comedy Michael Brown Ravi Kumar UK Korean R Adults A comedy movie directed by Michael Brown, starring Ravi Kumar. The story takes place in UK and follows an exciting journey filled with mystery, emotions and unexpected events."
18,The Last Hero 18,Animation,David Smith,Priya Rao,USA,2001,PG-13,85,Spanish,2.87,315239,Teens,"A animation movie directed by David Smith, starring Priya Rao. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events.","Animation David Smith Priya Rao USA Spanish PG-13 Teens A animation movie directed by David Smith, starring Priya Rao. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events."
19,Dreams of Tomorrow 19,Drama,Christopher Lee,Robert King,India,2021,U,172,French,9.73,465725,Kids,"A drama movie directed by Christopher Lee, starring Robert King. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events.","Drama Christopher Lee Robert King India French U Kids A drama movie directed by Christopher Lee, starring Robert King. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events."
20,Digital World 20,Romance,Michael Brown,David Miller,India,2011,U,113,Tamil,4.56,99399,Kids,"A romance movie directed by Michael Brown, starring David Miller. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events.","Romance Michael Brown David Miller India Tamil U Kids A romance movie directed by Michael Brown, starring David Miller. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events."
21,Dreams of Tomorrow 21,Documentary,James Anderson,Priya Rao,UK,2013,PG-13,174,Telugu,9.3,487979,Teens,"A documentary movie directed by James Anderson, starring Priya Rao. The story takes place in UK and follows an exciting journey filled with mystery, emotions and unexpected events.","Documentary James Anderson Priya Rao UK Telugu PG-13 Teens A documentary movie directed by James Anderson, starring Priya Rao. The story takes place in UK and follows an exciting journey filled with mystery, emotions and unexpected events."
22,Ocean Mystery 22,Horror,Steven Martin,Daniel Scott,Japan,2013,R,166,Tamil,5.69,483105,Teens,"A horror movie directed by Steven Martin, starring Daniel Scott. The story takes place in Japan and follows an exciting journey filled with mystery, emotions and unexpected events.","Horror Steven Martin Daniel Scott Japan Tamil R Teens A horror movie directed by Steven Martin, starring Daniel Scott. The story takes place in Japan and follows an exciting journey filled with mystery, emotions and unexpected events."
23,The Last Hero 23,Horror,Robert Wilson,Emily Brown,France,2007,PG,164,Korean,4.5,467381,Kids,"A horror movie directed by Robert Wilson, starring Emily Brown. The story takes place in France and follows an exciting journey filled with mystery, emotions and unexpected events.","Horror Robert Wilson Emily Brown France Korean PG Kids A horror movie directed by Robert Wilson, starring Emily Brown. The story takes place in France and follows an exciting journey filled with mystery, emotions and unexpected events."
24,Digital World 24,Thriller,John Williams,John Carter,France,2014,PG-13,132,English,6.28,194876,Teens,"A thriller movie directed by John Williams, starring John Carter. The story takes place in France and follows an exciting journey filled with mystery, emotions and unexpected events.","Thriller John Williams John Carter France English PG-13 Teens A thriller movie directed by John Williams, starring John Carter. The story takes place in France and follows an exciting journey filled with mystery, emotions and unexpected events."
25,The Secret 25,Adventure,John Williams,Tom Harris,USA,2012,U,120,English,3.67,454544,Kids,"A adventure movie directed by John Williams, starring Tom Harris. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events.","Adventure John Williams Tom Harris USA English U Kids A adventure movie directed by John Williams, starring Tom Harris. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events."
26,Dreams of Tomorrow 26,Romance,James Anderson,Priya Rao,Canada,2000,U/A,168,Spanish,9.88,120251,Teens,"A romance movie directed by James Anderson, starring Priya Rao. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events.","Romance James Anderson Priya Rao Canada Spanish U/A Teens A romance movie directed by James Anderson, starring Priya Rao. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events."
27,Unknown Enemy 27,Adventure,Arjun Rao,Ananya Sharma,Canada,2000,U/A,87,Korean,1.05,136430,Kids,"A adventure movie directed by Arjun Rao, starring Ananya Sharma. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events.","Adventure Arjun Rao Ananya Sharma Canada Korean U/A Kids A adventure movie directed by Arjun Rao, starring Ananya Sharma. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events."
28,Unknown Enemy 28,Comedy,Vikram Singh,Ravi Kumar,France,2018,PG,160,Japanese,7.4,61958,Kids,"A comedy movie directed by Vikram Singh, starring Ravi Kumar. The story takes place in France and follows an exciting journey filled with mystery, emotions and unexpected events.","Comedy Vikram Singh Ravi Kumar France Japanese PG Kids A comedy movie directed by Vikram Singh, starring Ravi Kumar. The story takes place in France and follows an exciting journey filled with mystery, emotions and unexpected events."
29,The Secret 29,Comedy,Raj Kumar,Ravi Kumar,France,2000,U/A,84,Hindi,9.34,326749,Teens,"A comedy movie directed by Raj Kumar, starring Ravi Kumar. The story takes place in France and follows an exciting journey filled with mystery, emotions and unexpected events.","Comedy Raj Kumar Ravi Kumar France Hindi U/A Teens A comedy movie directed by Raj Kumar, starring Ravi Kumar. The story takes place in France and follows an exciting journey filled with mystery, emotions and unexpected events."
30,Future City 30,Animation,Daniel Thomas,Robert King,Japan,2008,PG,107,Telugu,8.77,30635,Teens,"A animation movie directed by Daniel Thomas, starring Robert King. The story takes place in Japan and follows an exciting journey filled with mystery, emotions and unexpected events.","Animation Daniel Thomas Robert King Japan Telugu PG Teens A animation movie directed by Daniel Thomas, starring Robert King. The story takes place in Japan and follows an exciting journey filled with mystery, emotions and unexpected events."
31,Ocean Mystery 31,Comedy,Daniel Thomas,Priya Rao,USA,2011,U,113,English,1.86,389722,Kids,"A comedy movie directed by Daniel Thomas, starring Priya Rao. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events.","Comedy Daniel Thomas Priya Rao USA English U Kids A comedy movie directed by Daniel Thomas, starring Priya Rao. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events."
32,Beyond Time 32,Thriller,David Smith,Ravi Kumar,South Korea,2022,PG,141,Korean,3.93,489670,Kids,"A thriller movie directed by David Smith, starring Ravi Kumar. The story takes place in South Korea and follows an exciting journey filled with mystery, emotions and unexpected events.","Thriller David Smith Ravi Kumar South Korea Korean PG Kids A thriller movie directed by David Smith, starring Ravi Kumar. The story takes place in South Korea and follows an exciting journey filled with mystery, emotions and unexpected events."
33,The Great Adventure 33,Drama,Robert Wilson,Tom Harris,Japan,2011,A,165,Spanish,8.98,201764,Family,"A drama movie directed by Robert Wilson, starring Tom Harris. The story takes place in Japan and follows an exciting journey filled with mystery, emotions and unexpected events.","Drama Robert Wilson Tom Harris Japan Spanish A Family A drama movie directed by Robert Wilson, starring Tom Harris. The story takes place in Japan and follows an exciting journey filled with mystery, emotions and unexpected events."
34,Beyond Time 34,Animation,Vikram Singh,Michael Johnson,South Korea,2002,A,180,Telugu,9.75,158438,Teens,"A animation movie directed by Vikram Singh, starring Michael Johnson. The story takes place in South Korea and follows an exciting journey filled with mystery, emotions and unexpected events.","Animation Vikram Singh Michael Johnson South Korea Telugu A Teens A animation movie directed by Vikram Singh, starring Michael Johnson. The story takes place in South Korea and follows an exciting journey filled with mystery, emotions and unexpected events."
35,Hidden Truth 35,Action,Arjun Rao,Michael Johnson,India,2000,U,84,French,6.05,400226,Family,"A action movie directed by Arjun Rao, starring Michael Johnson. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events.","Action Arjun Rao Michael Johnson India French U Family A action movie directed by Arjun Rao, starring Michael Johnson. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events."
36,Lost World 36,Animation,Steven Martin,Robert King,India,2013,U,106,Hindi,5.7,218226,Kids,"A animation movie directed by Steven Martin, starring Robert King. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events.","Animation Steven Martin Robert King India Hindi U Kids A animation movie directed by Steven Martin, starring Robert King. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events."
37,The Forgotten Story 37,Thriller,Robert Wilson,John Carter,Canada,2025,U,121,English,4.95,253718,Family,"A thriller movie directed by Robert Wilson, starring John Carter. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events.","Thriller Robert Wilson John Carter Canada English U Family A thriller movie directed by Robert Wilson, starring John Carter. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events."
38,Beyond Time 38,Adventure,Arjun Rao,Priya Rao,France,2006,R,131,Spanish,6.07,350183,Adults,"A adventure movie directed by Arjun Rao, starring Priya Rao. The story takes place in France and follows an exciting journey filled with mystery, emotions and unexpected events.","Adventure Arjun Rao Priya Rao France Spanish R Adults A adventure movie directed by Arjun Rao, starring Priya Rao. The story takes place in France and follows an exciting journey filled with mystery, emotions and unexpected events."
39,The Great Adventure 39,Thriller,Michael Brown,Ravi Kumar,UK,2004,A,102,Spanish,6.44,198386,Kids,"A thriller movie directed by Michael Brown, starring Ravi Kumar. The story takes place in UK and follows an exciting journey filled with mystery, emotions and unexpected events.","Thriller Michael Brown Ravi Kumar UK Spanish A Kids A thriller movie directed by Michael Brown, starring Ravi Kumar. The story takes place in UK and follows an exciting journey filled with mystery, emotions and unexpected events."
40,Ocean Mystery 40,Action,Daniel Thomas,Daniel Scott,USA,2010,U/A,108,Hindi,3.06,324867,Adults,"A action movie directed by Daniel Thomas, starring Daniel Scott. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events.","Action Daniel Thomas Daniel Scott USA Hindi U/A Adults A action movie directed by Daniel Thomas, starring Daniel Scott. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events."
41,Broken Dreams 41,Drama,Christopher Lee,John Carter,Canada,2006,U/A,138,French,7.25,415615,Family,"A drama movie directed by Christopher Lee, starring John Carter. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events.","Drama Christopher Lee John Carter Canada French U/A Family A drama movie directed by Christopher Lee, starring John Carter. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events."
42,Love Story 42,Animation,Priya Sharma,Chris Evans,India,2001,U/A,121,Spanish,8.27,442396,Adults,"A animation movie directed by Priya Sharma, starring Chris Evans. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events.","Animation Priya Sharma Chris Evans India Spanish U/A Adults A animation movie directed by Priya Sharma, starring Chris Evans. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events."
43,Broken Dreams 43,Comedy,James Anderson,Michael Johnson,UK,2020,PG-13,85,Spanish,5.11,243407,Teens,"A comedy movie directed by James Anderson, starring Michael Johnson. The story takes place in UK and follows an exciting journey filled with mystery, emotions and unexpected events.","Comedy James Anderson Michael Johnson UK Spanish PG-13 Teens A comedy movie directed by James Anderson, starring Michael Johnson. The story takes place in UK and follows an exciting journey filled with mystery, emotions and unexpected events."
44,Future City 44,Romance,John Williams,Emily Brown,Australia,2011,U,163,Korean,9.03,153006,Kids,"A romance movie directed by John Williams, starring Emily Brown. The story takes place in Australia and follows an exciting journey filled with mystery, emotions and unexpected events.","Romance John Williams Emily Brown Australia Korean U Kids A romance movie directed by John Williams, starring Emily Brown. The story takes place in Australia and follows an exciting journey filled with mystery, emotions and unexpected events."
45,The Final Mission 45,Sci-Fi,Michael Brown,Tom Harris,India,2025,R,171,French,4.21,387361,Adults,"A sci-fi movie directed by Michael Brown, starring Tom Harris. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events.","Sci-Fi Michael Brown Tom Harris India French R Adults A sci-fi movie directed by Michael Brown, starring Tom Harris. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events."
46,Love Story 46,Drama,Priya Sharma,Ananya Sharma,Japan,2000,U,80,English,3.05,454689,Teens,"A drama movie directed by Priya Sharma, starring Ananya Sharma. The story takes place in Japan and follows an exciting journey filled with mystery, emotions and unexpected events.","Drama Priya Sharma Ananya Sharma Japan English U Teens A drama movie directed by Priya Sharma, starring Ananya Sharma. The story takes place in Japan and follows an exciting journey filled with mystery, emotions and unexpected events."
47,The Final Mission 47,Animation,Raj Kumar,Arjun Reddy,UK,2024,U,156,Japanese,8.75,499146,Adults,"A animation movie directed by Raj Kumar, starring Arjun Reddy. The story takes place in UK and follows an exciting journey filled with mystery, emotions and unexpected events.","Animation Raj Kumar Arjun Reddy UK Japanese U Adults A animation movie directed by Raj Kumar, starring Arjun Reddy. The story takes place in UK and follows an exciting journey filled with mystery, emotions and unexpected events."
48,Love Story 48,Romance,Raj Kumar,Arjun Reddy,Canada,2005,A,151,Tamil,5.81,381345,Family,"A romance movie directed by Raj Kumar, starring Arjun Reddy. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events.","Romance Raj Kumar Arjun Reddy Canada Tamil A Family A romance movie directed by Raj Kumar, starring Arjun Reddy. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events."
49,Lost World 49,Adventure,Priya Sharma,Robert King,Canada,2004,PG,176,Telugu,2.08,389903,Kids,"A adventure movie directed by Priya Sharma, starring Robert King. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events.","Adventure Priya Sharma Robert King Canada Telugu PG Kids A adventure movie directed by Priya Sharma, starring Robert King. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events."
50,Future City 50,Drama,Priya Sharma,Arjun Reddy,Japan,2023,U/A,158,Tamil,2.51,61187,Kids,"A drama movie directed by Priya Sharma, starring Arjun Reddy. The story takes place in Japan and follows an exciting journey filled with mystery, emotions and unexpected events.","Drama Priya Sharma Arjun Reddy Japan Tamil U/A Kids A drama movie directed by Priya Sharma, starring Arjun Reddy. The story takes place in Japan and follows an exciting journey filled with mystery, emotions and unexpected events."
51,The Great Adventure 51,Sci-Fi,Raj Kumar,Ananya Sharma,Canada,2023,A,131,Tamil,4.27,439892,Adults,"A sci-fi movie directed by Raj Kumar, starring Ananya Sharma. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events.","Sci-Fi Raj Kumar Ananya Sharma Canada Tamil A Adults A sci-fi movie directed by Raj Kumar, starring Ananya Sharma. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events."
52,Silent Killer 52,Thriller,John Williams,Tom Harris,Canada,2025,A,131,Japanese,3.22,65418,Kids,"A thriller movie directed by John Williams, starring Tom Harris. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events.","Thriller John Williams Tom Harris Canada Japanese A Kids A thriller movie directed by John Williams, starring Tom Harris. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events."
53,The Last Journey 53,Horror,Christopher Lee,Emily Brown,Japan,2001,U,82,French,3.71,216788,Adults,"A horror movie directed by Christopher Lee, starring Emily Brown. The story takes place in Japan and follows an exciting journey filled with mystery, emotions and unexpected events.","Horror Christopher Lee Emily Brown Japan French U Adults A horror movie directed by Christopher Lee, starring Emily Brown. The story takes place in Japan and follows an exciting journey filled with mystery, emotions and unexpected events."
54,The Forgotten Story 54,Drama,Arjun Rao,Chris Evans,India,2023,PG,160,Hindi,3.4,225381,Adults,"A drama movie directed by Arjun Rao, starring Chris Evans. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events.","Drama Arjun Rao Chris Evans India Hindi PG Adults A drama movie directed by Arjun Rao, starring Chris Evans. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events."
55,Digital World 55,Romance,Robert Wilson,Daniel Scott,USA,2001,U/A,171,Japanese,1.46,352328,Adults,"A romance movie directed by Robert Wilson, starring Daniel Scott. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events.","Romance Robert Wilson Daniel Scott USA Japanese U/A Adults A romance movie directed by Robert Wilson, starring Daniel Scott. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events."
56,The Warrior 56,Action,Priya Sharma,Ravi Kumar,India,2000,PG,80,Tamil,3.16,218264,Kids,"A action movie directed by Priya Sharma, starring Ravi Kumar. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events.","Action Priya Sharma Ravi Kumar India Tamil PG Kids A action movie directed by Priya Sharma, starring Ravi Kumar. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events."
57,The Last Hero 57,Romance,Arjun Rao,Arjun Reddy,USA,2011,A,169,Spanish,9.87,480771,Family,"A romance movie directed by Arjun Rao, starring Arjun Reddy. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events.","Romance Arjun Rao Arjun Reddy USA Spanish A Family A romance movie directed by Arjun Rao, starring Arjun Reddy. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events."
58,Beyond Time 58,Romance,Robert Wilson,Michael Johnson,Australia,2022,PG,147,Telugu,1.73,109851,Family,"A romance movie directed by Robert Wilson, starring Michael Johnson. The story takes place in Australia and follows an exciting journey filled with mystery, emotions and unexpected events.","Romance Robert Wilson Michael Johnson Australia Telugu PG Family A romance movie directed by Robert Wilson, starring Michael Johnson. The story takes place in Australia and follows an exciting journey filled with mystery, emotions and unexpected events."
59,Ocean Mystery 59,Drama,Arjun Rao,Daniel Scott,Australia,2016,U,117,Japanese,4.31,445399,Adults,"A drama movie directed by Arjun Rao, starring Daniel Scott. The story takes place in Australia and follows an exciting journey filled with mystery, emotions and unexpected events.","Drama Arjun Rao Daniel Scott Australia Japanese U Adults A drama movie directed by Arjun Rao, starring Daniel Scott. The story takes place in Australia and follows an exciting journey filled with mystery, emotions and unexpected events."
60,The Great Adventure 60,Horror,John Williams,Ravi Kumar,France,2001,PG,149,Korean,4.59,110178,Teens,"A horror movie directed by John Williams, starring Ravi Kumar. The story takes place in France and follows an exciting journey filled with mystery, emotions and unexpected events.","Horror John Williams Ravi Kumar France Korean PG Teens A horror movie directed by John Williams, starring Ravi Kumar. The story takes place in France and follows an exciting journey filled with mystery, emotions and unexpected events."
61,Broken Dreams 61,Animation,Daniel Thomas,Michael Johnson,UK,2015,PG-13,95,Hindi,8.52,435423,Adults,"A animation movie directed by Daniel Thomas, starring Michael Johnson. The story takes place in UK and follows an exciting journey filled with mystery, emotions and unexpected events.","Animation Daniel Thomas Michael Johnson UK Hindi PG-13 Adults A animation movie directed by Daniel Thomas, starring Michael Johnson. The story takes place in UK and follows an exciting journey filled with mystery, emotions and unexpected events."
62,Beyond Time 62,Comedy,John Williams,Emily Brown,Australia,2005,U/A,159,Tamil,1.37,312055,Kids,"A comedy movie directed by John Williams, starring Emily Brown. The story takes place in Australia and follows an exciting journey filled with mystery, emotions and unexpected events.","Comedy John Williams Emily Brown Australia Tamil U/A Kids A comedy movie directed by John Williams, starring Emily Brown. The story takes place in Australia and follows an exciting journey filled with mystery, emotions and unexpected events."
63,Unknown Enemy 63,Action,John Williams,Ananya Sharma,USA,2003,R,98,Korean,7.4,226914,Teens,"A action movie directed by John Williams, starring Ananya Sharma. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events.","Action John Williams Ananya Sharma USA Korean R Teens A action movie directed by John Williams, starring Ananya Sharma. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events."
64,The Last Journey 64,Sci-Fi,Daniel Thomas,Ravi Kumar,Canada,2018,U,99,Telugu,6.81,214935,Family,"A sci-fi movie directed by Daniel Thomas, starring Ravi Kumar. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events.","Sci-Fi Daniel Thomas Ravi Kumar Canada Telugu U Family A sci-fi movie directed by Daniel Thomas, starring Ravi Kumar. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events."
65,Ocean Mystery 65,Thriller,David Smith,Michael Johnson,South Korea,2008,U/A,112,English,4.58,219786,Kids,"A thriller movie directed by David Smith, starring Michael Johnson. The story takes place in South Korea and follows an exciting journey filled with mystery, emotions and unexpected events.","Thriller David Smith Michael Johnson South Korea English U/A Kids A thriller movie directed by David Smith, starring Michael Johnson. The story takes place in South Korea and follows an exciting journey filled with mystery, emotions and unexpected events."
66,The Forgotten Story 66,Documentary,David Smith,Ananya Sharma,France,2017,R,80,Korean,7.08,466972,Family,"A documentary movie directed by David Smith, starring Ananya Sharma. The story takes place in France and follows an exciting journey filled with mystery, emotions and unexpected events.","Documentary David Smith Ananya Sharma France Korean R Family A documentary movie directed by David Smith, starring Ananya Sharma. The story takes place in France and follows an exciting journey filled with mystery, emotions and unexpected events."
67,Future City 67,Animation,Daniel Thomas,Robert King,South Korea,2024,U/A,129,Korean,9.32,86081,Adults,"A animation movie directed by Daniel Thomas, starring Robert King. The story takes place in South Korea and follows an exciting journey filled with mystery, emotions and unexpected events.","Animation Daniel Thomas Robert King South Korea Korean U/A Adults A animation movie directed by Daniel Thomas, starring Robert King. The story takes place in South Korea and follows an exciting journey filled with mystery, emotions and unexpected events."
